row_k3,stage,len,start,j,lo_index,hi_index,twiddle_power,twiddle_mont,twiddle_normal,algorithm,notes
0,1,32,0,0,0,16,0,-147,1,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,1,1,17,1,484,1784,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,2,2,18,2,-794,2216,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,3,3,19,3,874,1993,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,4,4,20,4,109,1716,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,5,5,21,5,864,1899,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,6,6,22,6,-446,3413,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,7,7,23,7,-554,1015,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,8,8,24,8,366,2749,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,9,9,25,9,-429,2190,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,10,10,26,10,-1339,550,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,11,11,27,11,11,2869,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,12,12,28,12,-1118,1936,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,13,13,29,13,177,281,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,14,14,30,14,1181,39,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,1,32,0,15,15,31,15,1591,436,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,2,16,0,0,0,8,0,-147,1,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,2,16,0,1,1,9,2,-794,2216,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,2,16,0,2,2,10,4,109,1716,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,2,16,0,3,3,11,6,-446,3413,dif_bitrevout,high_output_is_(low-high)_times_twiddle
0,2,16,0,4,4,12,8,366,2749,dif_bitrevout,high_output_is_(low-high)_times_twiddle
